text,label_numeric,label,cleaned_text,tokens
LENANE LA KOMITI EA NAKOANA EA MOKHA O MOCHA,1,positive,lenane la komiti ea nakoana ea mokha o mocha,"['lenane', 'la', 'komiti', 'ea', 'nakoana', 'ea', 'mokha', 'o', 'mocha']"
MOPARAMENTE O TLO NEHELANA KA SETHUNYA SA POLASETIKI MAPOLESENG,-1,negative,moparamente o tlo nehelana ka sethunya sa polasetiki mapoleseng,"['moparamente', 'o', 'tlo', 'nehelana', 'ka', 'sethunya', 'sa', 'polasetiki', 'mapoleseng']"
MOPARAMENTE O BONA MASOBA KATLEHONG EA TONAKHOLO LE 'MUSO OA HAE,-1,negative,moparamente o bona masoba katlehong ea tonakholo le muso oa hae,"['moparamente', 'o', 'bona', 'masoba', 'katlehong', 'ea', 'tonakholo', 'le', 'muso', 'oa', 'hae']"
LITABA TSE LING TSE MONATE KE TSENA,1,positive,litaba tse ling tse monate ke tsena,"['litaba', 'tse', 'ling', 'tse', 'monate', 'ke', 'tsena']"
LITABA TSE MONATE,1,positive,litaba tse monate,"['litaba', 'tse', 'monate']"
HO ETSAHETSE KOTSI E MPE EA KOLOI,-1,negative,ho etsahetse kotsi e mpe ea koloi,"['ho', 'etsahetse', 'kotsi', 'e', 'mpe', 'ea', 'koloi']"
MONNA O RE BATHO KE LITHOTHO,-1,negative,monna o re batho ke lithotho,"['monna', 'o', 're', 'batho', 'ke', 'lithotho']"
KE BOTHATA HO SEPOLESA HO LATA MOFU EA SELAKHUOENG,-1,negative,ke bothata ho sepolesa ho lata mofu ea selakhuoeng,"['ke', 'bothata', 'ho', 'sepolesa', 'ho', 'lata', 'mofu', 'ea', 'selakhuoeng']"
PALO EA BATHO BA SHOELETSENG MORAFONG E NETEFALITSOE,-1,negative,palo ea batho ba shoeletseng morafong e netefalitsoe,"['palo', 'ea', 'batho', 'ba', 'shoeletseng', 'morafong', 'e', 'netefalitsoe']"
'MUSO O TLA TŠOARA 'MOKA OA BAPHATLALATSI BA LITABA KAJENO,1,positive,muso o tla toara moka oa baphatlalatsi ba litaba kajeno,"['muso', 'o', 'tla', 'toara', 'moka', 'oa', 'baphatlalatsi', 'ba', 'litaba', 'kajeno']"
MONNA EA FUMANOENG MOSALING OA MOTHO LEFISOA M5 000,-1,negative,monna ea fumanoeng mosaling oa motho lefisoa m,"['monna', 'ea', 'fumanoeng', 'mosaling', 'oa', 'motho', 'lefisoa', 'm']"
KE TLOLO EA MOLAO HO TIMA BOMME CHELETE,-1,negative,ke tlolo ea molao ho tima bomme chelete,"['ke', 'tlolo', 'ea', 'molao', 'ho', 'tima', 'bomme', 'chelete']"
TONAKHOLO O AKHELOA KHOTLA O QOSUOE,-1,negative,tonakholo o akheloa khotla o qosuoe,"['tonakholo', 'o', 'akheloa', 'khotla', 'o', 'qosuoe']"
TONAKHOLO O TLANNGOE MATSOHO KA HO FELETSENG,-1,negative,tonakholo o tlanngoe matsoho ka ho feletseng,"['tonakholo', 'o', 'tlanngoe', 'matsoho', 'ka', 'ho', 'feletseng']"
BATHO BA ROBONG BA TŠOEROE,-1,negative,batho ba robong ba toeroe,"['batho', 'ba', 'robong', 'ba', 'toeroe']"
MAPOLESA A KHUTLA A HOSHOLA HA MOPARAMENTE,-1,negative,mapolesa a khutla a hoshola ha moparamente,"['mapolesa', 'a', 'khutla', 'a', 'hoshola', 'ha', 'moparamente']"
LITABA TSA NAHA LI THATA LI HLOKA 'NETE FELA,-1,negative,litaba tsa naha li thata li hloka nete fela,"['litaba', 'tsa', 'naha', 'li', 'thata', 'li', 'hloka', 'nete', 'fela']"
MOHLOLO OA TABA NA LITSI TSA TŠIRELETSO LI CAPTURED,-1,negative,mohlolo oa taba na litsi tsa tireletso li captured,"['mohlolo', 'oa', 'taba', 'na', 'litsi', 'tsa', 'tireletso', 'li', 'captured']"
LITABA TSE MONATE KE TSENA,1,positive,litaba tse monate ke tsena,"['litaba', 'tse', 'monate', 'ke', 'tsena']"
BAQOSUOA POLAONG EA MOOKAMELI BA HLAHA KHOTLA,1,positive,baqosuoa polaong ea mookameli ba hlaha khotla,"['baqosuoa', 'polaong', 'ea', 'mookameli', 'ba', 'hlaha', 'khotla']"
MOKHETHOA O ITELA BOOTLOANE HO TONAKHOLO,1,positive,mokhethoa o itela bootloane ho tonakholo,"['mokhethoa', 'o', 'itela', 'bootloane', 'ho', 'tonakholo']"
NGOANANYANA EA LILEMO LI 12 O TLA LULA TERONKONG LILEMO TSE PELI,-1,negative,ngoananyana ea lilemo li o tla lula teronkong lilemo tse peli,"['ngoananyana', 'ea', 'lilemo', 'li', 'o', 'tla', 'lula', 'teronkong', 'lilemo', 'tse', 'peli']"
MAKOLOI A BAETI A TLO NYOLOHA HO TLOHA KA LA 1 TŠITOE 2023,-1,negative,makoloi a baeti a tlo nyoloha ho tloha ka la titoe,"['makoloi', 'a', 'baeti', 'a', 'tlo', 'nyoloha', 'ho', 'tloha', 'ka', 'la', 'titoe']"
MAKOLOI A BAETI A NYOLOHILE,-1,negative,makoloi a baeti a nyolohile,"['makoloi', 'a', 'baeti', 'a', 'nyolohile']"
SEBAPALI SA BOLO SE PHONYOHA TERONKO,1,positive,sebapali sa bolo se phonyoha teronko,"['sebapali', 'sa', 'bolo', 'se', 'phonyoha', 'teronko']"
BATHO BA TLOHELA LIPILISI TSA BOPHELO BOHLE KA LERENG BA RAPELETSOE,-1,negative,batho ba tlohela lipilisi tsa bophelo bohle ka lereng ba rapeletsoe,"['batho', 'ba', 'tlohela', 'lipilisi', 'tsa', 'bophelo', 'bohle', 'ka', 'lereng', 'ba', 'rapeletsoe']"
LE KAJENO LITŠEPISO TSA TONAKHOLO LE LETONA HA LI SO PHETHAHALE,-1,negative,le kajeno litepiso tsa tonakholo le letona ha li so phethahale,"['le', 'kajeno', 'litepiso', 'tsa', 'tonakholo', 'le', 'letona', 'ha', 'li', 'so', 'phethahale']"
TŠEBETSO EA HO LOKISA LEBALA LA LIPAPALI E QALILE,1,positive,tebetso ea ho lokisa lebala la lipapali e qalile,"['tebetso', 'ea', 'ho', 'lokisa', 'lebala', 'la', 'lipapali', 'e', 'qalile']"
PHANO EA LIPASA E NTSE E TSAMAEA KA THELLO E KHOLO,1,positive,phano ea lipasa e ntse e tsamaea ka thello e kholo,"['phano', 'ea', 'lipasa', 'e', 'ntse', 'e', 'tsamaea', 'ka', 'thello', 'e', 'kholo']"
LITABA TSE MONATE KE TSENA FEELA LI KANNA TSA BA BOHLOKO HO MANOA-JOALA A BAQHOBI,1,positive,litaba tse monate ke tsena feela li kanna tsa ba bohloko ho manoajoala a baqhobi,"['litaba', 'tse', 'monate', 'ke', 'tsena', 'feela', 'li', 'kanna', 'tsa', 'ba', 'bohloko', 'ho', 'manoajoala', 'a', 'baqhobi']"
BA SEBOKO KA HO NYOLOHA HOA MAKOLOI,-1,negative,ba seboko ka ho nyoloha hoa makoloi,"['ba', 'seboko', 'ka', 'ho', 'nyoloha', 'hoa', 'makoloi']"
MOPARAMENTE O BAPISA TONAKHOLO EA MEHLENG LE TONAKHOLO,0,neutral,moparamente o bapisa tonakholo ea mehleng le tonakholo,"['moparamente', 'o', 'bapisa', 'tonakholo', 'ea', 'mehleng', 'le', 'tonakholo']"
TONAKHOLO O TLO AHA MATLO A BATHO A FEFOHILENG,1,positive,tonakholo o tlo aha matlo a batho a fefohileng,"['tonakholo', 'o', 'tlo', 'aha', 'matlo', 'a', 'batho', 'a', 'fefohileng']"
TONAKHOLO O NTSE A PHETSE HANTLE,1,positive,tonakholo o ntse a phetse hantle,"['tonakholo', 'o', 'ntse', 'a', 'phetse', 'hantle']"
TONAKHOLO O QALELETSE HO FEPA SECHABA,1,positive,tonakholo o qaleletse ho fepa sechaba,"['tonakholo', 'o', 'qaleletse', 'ho', 'fepa', 'sechaba']"
LITABA TSE MONTATE HO BAITHUTI,1,positive,litaba tse montate ho baithuti,"['litaba', 'tse', 'montate', 'ho', 'baithuti']"
MOPARAMENTE LE EENA O FUOA BOTONA KE TONAKHOLO,1,positive,moparamente le eena o fuoa botona ke tonakholo,"['moparamente', 'le', 'eena', 'o', 'fuoa', 'botona', 'ke', 'tonakholo']"
BONA LENANE LA MATONA A TLANG HO HLAPANTŠOA KAJENO,1,positive,bona lenane la matona a tlang ho hlapantoa kajeno,"['bona', 'lenane', 'la', 'matona', 'a', 'tlang', 'ho', 'hlapantoa', 'kajeno']"
TONAKHOLO O TLO ABELA SECHABA LIJO-THOLLO,1,positive,tonakholo o tlo abela sechaba lijothollo,"['tonakholo', 'o', 'tlo', 'abela', 'sechaba', 'lijothollo']"
MOPARAMENTE HA A EO KA HAR'A NAHA,0,neutral,moparamente ha a eo ka hara naha,"['moparamente', 'ha', 'a', 'eo', 'ka', 'hara', 'naha']"
MOHANYETSI E MOHOLO OA 'MUSO O TLO QHAUTSOA,1,positive,mohanyetsi e moholo oa muso o tlo qhautsoa,"['mohanyetsi', 'e', 'moholo', 'oa', 'muso', 'o', 'tlo', 'qhautsoa']"
BAITHUTI BA PHALLELOA KA LIMPHO,1,positive,baithuti ba phalleloa ka limpho,"['baithuti', 'ba', 'phalleloa', 'ka', 'limpho']"
TONAKHOLO O TSOELAPELE KA MOSEBETSI O MOTLE,1,positive,tonakholo o tsoelapele ka mosebetsi o motle,"['tonakholo', 'o', 'tsoelapele', 'ka', 'mosebetsi', 'o', 'motle']"
'MUSO O ARABA LIPOTSO TSA THEKO EA MAKOLOI A SEPOLESA,1,positive,muso o araba lipotso tsa theko ea makoloi a sepolesa,"['muso', 'o', 'araba', 'lipotso', 'tsa', 'theko', 'ea', 'makoloi', 'a', 'sepolesa']"
SEHLOPHA SA BOLO SE BOELA E NGOLA NALANE E MPE,-1,negative,sehlopha sa bolo se boela e ngola nalane e mpe,"['sehlopha', 'sa', 'bolo', 'se', 'boela', 'e', 'ngola', 'nalane', 'e', 'mpe']"
BATŠEHETSI BA SEHLOPHA SA BOLO BA TLO LAHLELOA TORONKONG,-1,negative,batehetsi ba sehlopha sa bolo ba tlo lahleloa toronkong,"['batehetsi', 'ba', 'sehlopha', 'sa', 'bolo', 'ba', 'tlo', 'lahleloa', 'toronkong']"
TONAKHOLO O TLO FANA KA LINKU HO BALISANA BA 108,1,positive,tonakholo o tlo fana ka linku ho balisana ba,"['tonakholo', 'o', 'tlo', 'fana', 'ka', 'linku', 'ho', 'balisana', 'ba']"
NGOANANA O SHEMOLA NTATAE SEPHAKA,-1,negative,ngoanana o shemola ntatae sephaka,"['ngoanana', 'o', 'shemola', 'ntatae', 'sephaka']"
TONAKHOLO O KHENOLA MOPARAMENTE HAPE,-1,negative,tonakholo o khenola moparamente hape,"['tonakholo', 'o', 'khenola', 'moparamente', 'hape']"
LETONA LE TLA ARABA TSA LEFU LA MOSEBETSI KAJENO,-1,negative,letona le tla araba tsa lefu la mosebetsi kajeno,"['letona', 'le', 'tla', 'araba', 'tsa', 'lefu', 'la', 'mosebetsi', 'kajeno']"
MOPARAMENTE OA MEHLENG O SHAPELA TONAKHOLO LEHOFI,1,positive,moparamente oa mehleng o shapela tonakholo lehofi,"['moparamente', 'oa', 'mehleng', 'o', 'shapela', 'tonakholo', 'lehofi']"
'MUSO O TLO REKELA MAPOLESA MAKOLOI A MANG HAPE,1,positive,muso o tlo rekela mapolesa makoloi a mang hape,"['muso', 'o', 'tlo', 'rekela', 'mapolesa', 'makoloi', 'a', 'mang', 'hape']"
KE LESHANO HORE PHATHI E TLO KOPANELA PUSO,-1,negative,ke leshano hore phathi e tlo kopanela puso,"['ke', 'leshano', 'hore', 'phathi', 'e', 'tlo', 'kopanela', 'puso']"
MAPARAMENTE A 7 A 'MUSO A BATLA HO TŠELELA KA HO BOHANYETSI,-1,negative,maparamente a a muso a batla ho telela ka ho bohanyetsi,"['maparamente', 'a', 'a', 'muso', 'a', 'batla', 'ho', 'telela', 'ka', 'ho', 'bohanyetsi']"
MOPARAMENTE O BOELA A TSOA PUO KA TSA HO TŠOAROA HA HAE,-1,negative,moparamente o boela a tsoa puo ka tsa ho toaroa ha hae,"['moparamente', 'o', 'boela', 'a', 'tsoa', 'puo', 'ka', 'tsa', 'ho', 'toaroa', 'ha', 'hae']"
BALA POLELO EA LEKHOTLA LA LIKEREKE MABAPI LE MAEMO A RENANG A LIPOLOTIKI,0,neutral,bala polelo ea lekhotla la likereke mabapi le maemo a renang a lipolotiki,"['bala', 'polelo', 'ea', 'lekhotla', 'la', 'likereke', 'mabapi', 'le', 'maemo', 'a', 'renang', 'a', 'lipolotiki']"
MOPARAMENTE O JOOA KE LINTA TSA KOBO EA HAE,-1,negative,moparamente o jooa ke linta tsa kobo ea hae,"['moparamente', 'o', 'jooa', 'ke', 'linta', 'tsa', 'kobo', 'ea', 'hae']"
MOPARAMENTE O HLALOSA TSA TŠOARO EA HAE,-1,negative,moparamente o hlalosa tsa toaro ea hae,"['moparamente', 'o', 'hlalosa', 'tsa', 'toaro', 'ea', 'hae']"
SEPOLESA SE TLOLA MOLAO KA HO TŠOARA MOPARAMENTE,-1,negative,sepolesa se tlola molao ka ho toara moparamente,"['sepolesa', 'se', 'tlola', 'molao', 'ka', 'ho', 'toara', 'moparamente']"
MAPARAMENTE A BOHANYETSI A IKISA MAPOLESENG,-1,negative,maparamente a bohanyetsi a ikisa mapoleseng,"['maparamente', 'a', 'bohanyetsi', 'a', 'ikisa', 'mapoleseng']"
MOPARAMENTE OA BOHANYETSI O TŠOEROE,-1,negative,moparamente oa bohanyetsi o toeroe,"['moparamente', 'oa', 'bohanyetsi', 'o', 'toeroe']"
MASOLE A TLO SHAPUOA,-1,negative,masole a tlo shapuoa,"['masole', 'a', 'tlo', 'shapuoa']"
'MOLAI OA MOPARAMENTE OA MEHLENG O FUOA BEILE,-1,negative,molai oa moparamente oa mehleng o fuoa beile,"['molai', 'oa', 'moparamente', 'oa', 'mehleng', 'o', 'fuoa', 'beile']"
SETHO SA PHATHI SE MAKALLA POLELO EA LITSI TSA TŠIRELETSO,-1,negative,setho sa phathi se makalla polelo ea litsi tsa tireletso,"['setho', 'sa', 'phathi', 'se', 'makalla', 'polelo', 'ea', 'litsi', 'tsa', 'tireletso']"
MOPARAMENTE O KENYA SEPOLESA SESOLE LE MAUTLOELA TSELENG,1,positive,moparamente o kenya sepolesa sesole le mautloela tseleng,"['moparamente', 'o', 'kenya', 'sepolesa', 'sesole', 'le', 'mautloela', 'tseleng']"
MOOKAMELI O RE LIKETSO TSA HO LIEA PUSO LI KE SE ETSAHALE,1,positive,mookameli o re liketso tsa ho liea puso li ke se etsahale,"['mookameli', 'o', 're', 'liketso', 'tsa', 'ho', 'liea', 'puso', 'li', 'ke', 'se', 'etsahale']"
'MUSO O TSOILE BOHANYETSI SHIBOBO,1,positive,muso o tsoile bohanyetsi shibobo,"['muso', 'o', 'tsoile', 'bohanyetsi', 'shibobo']"
LEKHOTLA LE THIBELA HO LIHELOA HA TONAKHOLO,1,positive,lekhotla le thibela ho liheloa ha tonakholo,"['lekhotla', 'le', 'thibela', 'ho', 'liheloa', 'ha', 'tonakholo']"
HA U TŠABA U TŠABE MOPARAMENTE,-1,negative,ha u taba u tabe moparamente,"['ha', 'u', 'taba', 'u', 'tabe', 'moparamente']"
TONAKHOLO O RE 'MUSO OA HAE O TJAMETSOE KE HO SE QETE LILEMO TSE HLANO,-1,negative,tonakholo o re muso oa hae o tjametsoe ke ho se qete lilemo tse hlano,"['tonakholo', 'o', 're', 'muso', 'oa', 'hae', 'o', 'tjametsoe', 'ke', 'ho', 'se', 'qete', 'lilemo', 'tse', 'hlano']"
MAPARAMENTE A MANG A PHATHI A LELEKUOE,-1,negative,maparamente a mang a phathi a lelekuoe,"['maparamente', 'a', 'mang', 'a', 'phathi', 'a', 'lelekuoe']"
'MUSO O FA BAHOEBI M130 000,1,positive,muso o fa bahoebi m,"['muso', 'o', 'fa', 'bahoebi', 'm']"
MOPARAMENTE OA PHATHI O BEHA TONAKHOLO POOANENG,-1,negative,moparamente oa phathi o beha tonakholo pooaneng,"['moparamente', 'oa', 'phathi', 'o', 'beha', 'tonakholo', 'pooaneng']"
THEKO EA NAMA LE MAHE E TLO NYOLOHA HAMPE HAHOLO,-1,negative,theko ea nama le mahe e tlo nyoloha hampe haholo,"['theko', 'ea', 'nama', 'le', 'mahe', 'e', 'tlo', 'nyoloha', 'hampe', 'haholo']"
PULA KE MAHLOPHA A SENYA,-1,negative,pula ke mahlopha a senya,"['pula', 'ke', 'mahlopha', 'a', 'senya']"
SEPOLESA SE TSOA PUO KA POLAO EA MOPARAMENTE OA MEHLENG,-1,negative,sepolesa se tsoa puo ka polao ea moparamente oa mehleng,"['sepolesa', 'se', 'tsoa', 'puo', 'ka', 'polao', 'ea', 'moparamente', 'oa', 'mehleng']"
MOFU O SHAPILE MOSALI OA MOTHO HA A TLA BOLAOA,-1,negative,mofu o shapile mosali oa motho ha a tla bolaoa,"['mofu', 'o', 'shapile', 'mosali', 'oa', 'motho', 'ha', 'a', 'tla', 'bolaoa']"
MOPARAMENTE O THUNYELITSOE LEFU KAJENO,-1,negative,moparamente o thunyelitsoe lefu kajeno,"['moparamente', 'o', 'thunyelitsoe', 'lefu', 'kajeno']"
MAEMONG A NEPAHETSENG HA HO MOTHO EA KA JANG NAMA EA NTJA,-1,negative,maemong a nepahetseng ha ho motho ea ka jang nama ea ntja,"['maemong', 'a', 'nepahetseng', 'ha', 'ho', 'motho', 'ea', 'ka', 'jang', 'nama', 'ea', 'ntja']"
MOPARAMENTE O FUMANA TLHAPI E KHOLO,1,positive,moparamente o fumana tlhapi e kholo,"['moparamente', 'o', 'fumana', 'tlhapi', 'e', 'kholo']"
RAMOPHATHO O TŠOEROE KAMOR'A HO LEKA HO BOLAEA EO PELAELO ELENG HORE O BUILE KOMA,-1,negative,ramophatho o toeroe kamora ho leka ho bolaea eo pelaelo eleng hore o buile koma,"['ramophatho', 'o', 'toeroe', 'kamora', 'ho', 'leka', 'ho', 'bolaea', 'eo', 'pelaelo', 'eleng', 'hore', 'o', 'buile', 'koma']"
MENYENYETSI E RE HO SE HO ENA LE MOTHO EA THUNTSOENG BOIPELAETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,-1,negative,menyenyetsi e re ho se ho ena le motho ea thuntsoeng boipelaetsong ba baithuti ba sekolo se phahameng,"['menyenyetsi', 'e', 're', 'ho', 'se', 'ho', 'ena', 'le', 'motho', 'ea', 'thuntsoeng', 'boipelaetsong', 'ba', 'baithuti', 'ba', 'sekolo', 'se', 'phahameng']"
HO UTLOAHALA HO KHABOLA HA SETHUNYA BOIPILETSONG BA BAITHUTI BA SEKOLO SE PHAHAMENG,-1,negative,ho utloahala ho khabola ha sethunya boipiletsong ba baithuti ba sekolo se phahameng,"['ho', 'utloahala', 'ho', 'khabola', 'ha', 'sethunya', 'boipiletsong', 'ba', 'baithuti', 'ba', 'sekolo', 'se', 'phahameng']"
HO QETA HO ETSAHALA KOTSI E MPE,-1,negative,ho qeta ho etsahala kotsi e mpe,"['ho', 'qeta', 'ho', 'etsahala', 'kotsi', 'e', 'mpe']"
MOSALI O HLAJOA KA THIPA A LE LAPENG BOSIU,-1,negative,mosali o hlajoa ka thipa a le lapeng bosiu,"['mosali', 'o', 'hlajoa', 'ka', 'thipa', 'a', 'le', 'lapeng', 'bosiu']"
UTLOA LITABA TSA MOSALI EA BELAELLOANG KA BOSHOLU BA TLHAPI,-1,negative,utloa litaba tsa mosali ea belaelloang ka bosholu ba tlhapi,"['utloa', 'litaba', 'tsa', 'mosali', 'ea', 'belaelloang', 'ka', 'bosholu', 'ba', 'tlhapi']"
METSOFE E KHUTLILE E SA KHOLA MAOBANE,-1,negative,metsofe e khutlile e sa khola maobane,"['metsofe', 'e', 'khutlile', 'e', 'sa', 'khola', 'maobane']"
LINTLHA-KHOLO MABAPI LE MOSALI EA TŠOEROENG KA MAKOLOKOTI A TLHAPI,-1,negative,lintlhakholo mabapi le mosali ea toeroeng ka makolokoti a tlhapi,"['lintlhakholo', 'mabapi', 'le', 'mosali', 'ea', 'toeroeng', 'ka', 'makolokoti', 'a', 'tlhapi']"
BALATELI BA PHATHI BA BATLA MOETAPELE A LELEKE MOPARAMENTE OA BOHLANO,-1,negative,balateli ba phathi ba batla moetapele a leleke moparamente oa bohlano,"['balateli', 'ba', 'phathi', 'ba', 'batla', 'moetapele', 'a', 'leleke', 'moparamente', 'oa', 'bohlano']"
MOPARAMENTE OA PHATHI O HANANA LE QETO EA MOETAPELE,-1,negative,moparamente oa phathi o hanana le qeto ea moetapele,"['moparamente', 'oa', 'phathi', 'o', 'hanana', 'le', 'qeto', 'ea', 'moetapele']"
HO PHETHILE MAPARAMENTE A PHATHI A TEBETSOE BOPHELO BOHLE,-1,negative,ho phethile maparamente a phathi a tebetsoe bophelo bohle,"['ho', 'phethile', 'maparamente', 'a', 'phathi', 'a', 'tebetsoe', 'bophelo', 'bohle']"
LIPHUPUTSO LI THAKHOTSOE KHAHLANONG LE SEBOHOLI,-1,negative,liphuputso li thakhotsoe khahlanong le seboholi,"['liphuputso', 'li', 'thakhotsoe', 'khahlanong', 'le', 'seboholi']"
TONAKHOLO O PHELISA SECHABA KA LESHANO,-1,negative,tonakholo o phelisa sechaba ka leshano,"['tonakholo', 'o', 'phelisa', 'sechaba', 'ka', 'leshano']"
BA RE SEBAPALI SA BOLO SE NA LE LETEMONA,-1,negative,ba re sebapali sa bolo se na le letemona,"['ba', 're', 'sebapali', 'sa', 'bolo', 'se', 'na', 'le', 'letemona']"
UTLOA TSA LETONA LA 'MUSO O LITULONG KAJENO,0,neutral,utloa tsa letona la muso o litulong kajeno,"['utloa', 'tsa', 'letona', 'la', 'muso', 'o', 'litulong', 'kajeno']"
TONAKHOLO O RE O FUMANE BAREKI BA TLA REKA LIHLAHISOA TSA LIFEME TSA NAHA,1,positive,tonakholo o re o fumane bareki ba tla reka lihlahisoa tsa lifeme tsa naha,"['tonakholo', 'o', 're', 'o', 'fumane', 'bareki', 'ba', 'tla', 'reka', 'lihlahisoa', 'tsa', 'lifeme', 'tsa', 'naha']"
MATLO A 20 A TLALEHOA A FEFOHILE,-1,negative,matlo a a tlalehoa a fefohile,"['matlo', 'a', 'a', 'tlalehoa', 'a', 'fefohile']"
TONAKHOLO O HLABA MOETAPELE OA PHATHI BOHLOKONG,-1,negative,tonakholo o hlaba moetapele oa phathi bohlokong,"['tonakholo', 'o', 'hlaba', 'moetapele', 'oa', 'phathi', 'bohlokong']"
HO TLOSOA BOTO EA PHATHI OFISING,-1,negative,ho tlosoa boto ea phathi ofising,"['ho', 'tlosoa', 'boto', 'ea', 'phathi', 'ofising']"
SECHABA SE TLO BATLOA LI-ID HO TŠELA CHELETE,-1,negative,sechaba se tlo batloa liid ho tela chelete,"['sechaba', 'se', 'tlo', 'batloa', 'liid', 'ho', 'tela', 'chelete']"
MOPARAMENTE O LO LOKISA TSELA EA HABO KA SONTAHA,1,positive,moparamente o lo lokisa tsela ea habo ka sontaha,"['moparamente', 'o', 'lo', 'lokisa', 'tsela', 'ea', 'habo', 'ka', 'sontaha']"
MELEMO EA HO JA NAMA EA NTJA,1,positive,melemo ea ho ja nama ea ntja,"['melemo', 'ea', 'ho', 'ja', 'nama', 'ea', 'ntja']"
LETONA LE NETEFATSA HORE COVID-19 E FUMANOE BANENG BA SEKOLO,-1,negative,letona le netefatsa hore covid e fumanoe baneng ba sekolo,"['letona', 'le', 'netefatsa', 'hore', 'covid', 'e', 'fumanoe', 'baneng', 'ba', 'sekolo']"
COVID-19 E FUMANOA BANENG BA SEKOLO,-1,negative,covid e fumanoa baneng ba sekolo,"['covid', 'e', 'fumanoa', 'baneng', 'ba', 'sekolo']"
'MUSO O QALELETSE HO LOKISA LITSELA,1,positive,muso o qaleletse ho lokisa litsela,"['muso', 'o', 'qaleletse', 'ho', 'lokisa', 'litsela']"
MAMELA MOOKAMELI OA SEEA-LE-MOEA A SHOASHOATHELA SEBOHOLI,-1,negative,mamela mookameli oa seealemoea a shoashoathela seboholi,"['mamela', 'mookameli', 'oa', 'seealemoea', 'a', 'shoashoathela', 'seboholi']"
