tweet,label,sentiment,cleaned_text,tokens,sentence_length
"@user Namuntlha nada baiye, a xirhame ci demanji",negative,Negative,namuntlha nada baiye a xirhame ci demanji,"['namuntlha', 'nada', 'baiye', 'a', 'xirhame', 'ci', 'demanji']",7
"Suka, xtapora: Niti dlela male ya Mina 🤌🏽 Toh ta falar, Noh ti dlela male yah Mina 😉",negative,Negative,suka xtapora niti dlela male ya mina 🤌🏽 toh ta falar noh ti dlela male yah mina 😉,"['suka', 'xtapora', 'niti', 'dlela', 'male', 'ya', 'mina', '🤌🏽', 'toh', 'ta', 'falar', 'noh', 'ti', 'dlela', 'male', 'yah', 'mina', '😉']",18
"@user Hambi uku nhó 🙄, um dia uta sunguna ku phuza na mesma🚶🚶🚶",negative,Negative,hambi uku nhó 🙄 um dia uta sunguna ku phuza na mesma🚶🚶🚶,"['hambi', 'uku', 'nhó', '🙄', 'um', 'dia', 'uta', 'sunguna', 'ku', 'phuza', 'na', 'mesma🚶🚶🚶']",12
Swi mbeni... Mas vale u mielaaaaaaaa,negative,Negative,swi mbeni mas vale u mielaaaaaaaa,"['swi', 'mbeni', 'mas', 'vale', 'u', 'mielaaaaaaaa']",6
Famba uya ti fassa😤 https://t.co/rXNiryPCRL,negative,Negative,famba uya ti fassa😤,"['famba', 'uya', 'ti', 'fassa😤']",4
@user Pimissa nhana u tsika madururo,negative,Negative,pimissa nhana u tsika madururo,"['pimissa', 'nhana', 'u', 'tsika', 'madururo']",5
Barcelona ( Loko ni file mungane rilane..),negative,Negative,barcelona loko ni file mungane rilane,"['barcelona', 'loko', 'ni', 'file', 'mungane', 'rilane']",6
Swa yentxeka não tá nada nice 😭💀,negative,Negative,swa yentxeka não tá nada nice 😭💀,"['swa', 'yentxeka', 'não', 'tá', 'nada', 'nice', '😭💀']",7
Hahahahaha hadjakufa lweyi... É provocar overdose isso! 😂 https://t.co/OicW5UEMax,negative,Negative,hahahahaha hadjakufa lweyi é provocar overdose isso 😂,"['hahahahaha', 'hadjakufa', 'lweyi', 'é', 'provocar', 'overdose', 'isso', '😂']",8
@user @user Swimbenhane wa dja ku ni hembissa ja 😂😂😂😂😂😂,negative,Negative,swimbenhane wa dja ku ni hembissa ja 😂😂😂😂😂😂,"['swimbenhane', 'wa', 'dja', 'ku', 'ni', 'hembissa', 'ja', '😂😂😂😂😂😂']",8
Aha swa mbangue... Tsala swi mbeni... Hloko ya pao,negative,Negative,aha swa mbangue tsala swi mbeni hloko ya pao,"['aha', 'swa', 'mbangue', 'tsala', 'swi', 'mbeni', 'hloko', 'ya', 'pao']",9
@user Nawene tem que o tsika madururo u pimissa nhana,negative,Negative,nawene tem que o tsika madururo u pimissa nhana,"['nawene', 'tem', 'que', 'o', 'tsika', 'madururo', 'u', 'pimissa', 'nhana']",9
@user @user Ova na vuntswaka lowa nhloko,negative,Negative,ova na vuntswaka lowa nhloko,"['ova', 'na', 'vuntswaka', 'lowa', 'nhloko']",5
Yuh... Vá djula ku ih hlongola ka tiku ledzi... Ih dhlawileh https://t.co/vpH6wgZKdd,negative,Negative,yuh vá djula ku ih hlongola ka tiku ledzi ih dhlawileh,"['yuh', 'vá', 'djula', 'ku', 'ih', 'hlongola', 'ka', 'tiku', 'ledzi', 'ih', 'dhlawileh']",11
U ku um dois u mu ba ka xifuva a fa.... Inah... Swa djuleka 😭😭,negative,Negative,u ku um dois u mu ba ka xifuva a fa inah swa djuleka 😭😭,"['u', 'ku', 'um', 'dois', 'u', 'mu', 'ba', 'ka', 'xifuva', 'a', 'fa', 'inah', 'swa', 'djuleka', '😭😭']",15
Hosi yanga 🙆🏾‍♂️🙆🏾‍♂️🙆🏾‍♂️ https://t.co/fSlFykkTJ0,negative,Negative,hosi yanga 🙆🏾‍♂️🙆🏾‍♂️🙆🏾‍♂️,"['hosi', 'yanga', '🙆🏾\u200d♂️🙆🏾\u200d♂️🙆🏾\u200d♂️']",3
Wali wa Dula 😭 https://t.co/sQ0HCqUo7E,negative,Negative,wali wa dula 😭,"['wali', 'wa', 'dula', '😭']",4
@user Unga hi nhenhentsi wena,negative,Negative,unga hi nhenhentsi wena,"['unga', 'hi', 'nhenhentsi', 'wena']",4
@user A nguenile matilwene😭,negative,Negative,a nguenile matilwene😭,"['a', 'nguenile', 'matilwene😭']",3
Ikhali mina ni zunga waku djokuni tolovela - sg,negative,Negative,ikhali mina ni zunga waku djokuni tolovela sg,"['ikhali', 'mina', 'ni', 'zunga', 'waku', 'djokuni', 'tolovela', 'sg']",8
@user @user Vha ta dlaya😭,negative,Negative,vha ta dlaya😭,"['vha', 'ta', 'dlaya😭']",3
@user Swa kharata mpela... Khambi... Funtsi a ih swi tsiki... 😔,negative,Negative,swa kharata mpela khambi funtsi a ih swi tsiki 😔,"['swa', 'kharata', 'mpela', 'khambi', 'funtsi', 'a', 'ih', 'swi', 'tsiki', '😔']",10
U la kuta ka mina Ungati na usiku U zama zama kuni phazamisa ... U la ku nivuyisela a gono ni meticali,negative,Negative,u la kuta ka mina ungati na usiku u zama zama kuni phazamisa u la ku nivuyisela a gono ni meticali,"['u', 'la', 'kuta', 'ka', 'mina', 'ungati', 'na', 'usiku', 'u', 'zama', 'zama', 'kuni', 'phazamisa', 'u', 'la', 'ku', 'nivuyisela', 'a', 'gono', 'ni', 'meticali']",21
😆😆😆😆😆😆😆😆 A xizame da kwapa mesmo https://t.co/NHgwJMAfrx,negative,Negative,😆😆😆😆😆😆😆😆 a xizame da kwapa mesmo,"['😆😆😆😆😆😆😆😆', 'a', 'xizame', 'da', 'kwapa', 'mesmo']",6
@user Mas Khasi a u teke nsati hi maka muni!?,negative,Negative,mas khasi a u teke nsati hi maka muni,"['mas', 'khasi', 'a', 'u', 'teke', 'nsati', 'hi', 'maka', 'muni']",9
Famba ti kundza invejosa 🤣 https://t.co/j7E0qcKys1,negative,Negative,famba ti kundza invejosa 🤣,"['famba', 'ti', 'kundza', 'invejosa', '🤣']",5
Ceh Ina ka! I para hi ku yini? https://t.co/HZbhA0cYkE,negative,Negative,ceh ina ka i para hi ku yini,"['ceh', 'ina', 'ka', 'i', 'para', 'hi', 'ku', 'yini']",8
Ka hissa kola missavene. 😭🌞,negative,Negative,ka hissa kola missavene 😭🌞,"['ka', 'hissa', 'kola', 'missavene', '😭🌞']",5
@user @user @user @user @user @user @user Hi maka Ruy 😂,negative,Negative,hi maka ruy 😂,"['hi', 'maka', 'ruy', '😂']",4
@user Swimbenhane vata hi rhivalela mas ava futseke...,negative,Negative,swimbenhane vata hi rhivalela mas ava futseke,"['swimbenhane', 'vata', 'hi', 'rhivalela', 'mas', 'ava', 'futseke']",7
@user Uku ni dzo 😂😂😂😂,negative,Negative,uku ni dzo 😂😂😂😂,"['uku', 'ni', 'dzo', '😂😂😂😂']",4
"@user Hi ku pfinha, va hi sola",negative,Negative,hi ku pfinha va hi sola,"['hi', 'ku', 'pfinha', 'va', 'hi', 'sola']",6
@user 🤣 why uni lembrara lexwu 😤 wena wa kazata,negative,Negative,🤣 why uni lembrara lexwu 😤 wena wa kazata,"['🤣', 'why', 'uni', 'lembrara', 'lexwu', '😤', 'wena', 'wa', 'kazata']",9
Va khu ndzaveta u va khuma la https://t.co/tPpLJUXwiQ,negative,Negative,va khu ndzaveta u va khuma la,"['va', 'khu', 'ndzaveta', 'u', 'va', 'khuma', 'la']",7
@user @user Ani madururu npfana lweyi😹,negative,Negative,ani madururu npfana lweyi😹,"['ani', 'madururu', 'npfana', 'lweyi😹']",4
“A xwi chegui ka?” 😭😭 https://t.co/8e8jEUeM0n,negative,Negative,“a xwi chegui ka” 😭😭,"['“a', 'xwi', 'chegui', 'ka”', '😭😭']",5
"@user @user Yu , tindzava ? Tsika mbangui mpfana e nita ku desprogramara",negative,Negative,yu tindzava tsika mbangui mpfana e nita ku desprogramara,"['yu', 'tindzava', 'tsika', 'mbangui', 'mpfana', 'e', 'nita', 'ku', 'desprogramara']",9
"@user Himpela wo nhimela nkama wa ko u fika, yena a poronto, ni mu fundile bem, mas wa karhata nhana....",negative,Negative,himpela wo nhimela nkama wa ko u fika yena a poronto ni mu fundile bem mas wa karhata nhana,"['himpela', 'wo', 'nhimela', 'nkama', 'wa', 'ko', 'u', 'fika', 'yena', 'a', 'poronto', 'ni', 'mu', 'fundile', 'bem', 'mas', 'wa', 'karhata', 'nhana']",19
@user 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣famba u ya ti gunha hi parede.,negative,Negative,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣famba u ya ti gunha hi parede,"['🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣famba', 'u', 'ya', 'ti', 'gunha', 'hi', 'parede']",7
Swa mbangue ni ma cigarri !!! https://t.co/3DZRDFHJw1,negative,Negative,swa mbangue ni ma cigarri,"['swa', 'mbangue', 'ni', 'ma', 'cigarri']",5
U tsama u ui vona a mbongolo yi nga xidjana*? 🤔 Ih leyi Lani 😂😂 https://t.co/R3wBgvTXIc,negative,Negative,u tsama u ui vona a mbongolo yi nga xidjana 🤔 ih leyi lani 😂😂,"['u', 'tsama', 'u', 'ui', 'vona', 'a', 'mbongolo', 'yi', 'nga', 'xidjana', '🤔', 'ih', 'leyi', 'lani', '😂😂']",15
@user Tili luweme nase A Mulungu otisunga,negative,Negative,tili luweme nase a mulungu otisunga,"['tili', 'luweme', 'nase', 'a', 'mulungu', 'otisunga']",6
@user @user Unga ni lhanhele mina,negative,Negative,unga ni lhanhele mina,"['unga', 'ni', 'lhanhele', 'mina']",4
A xizame xo kwapa hi🥶,negative,Negative,a xizame xo kwapa hi🥶,"['a', 'xizame', 'xo', 'kwapa', 'hi🥶']",5
Hi Ta Hambana Hi Ma Central @user 😭😭 https://t.co/duLp8VeqA0,negative,Negative,hi ta hambana hi ma central 😭😭,"['hi', 'ta', 'hambana', 'hi', 'ma', 'central', '😭😭']",7
@user Afinal fere a vista? 😂😂😂 Ni dzivaleli a ni nga swi tivi 🤣,negative,Negative,afinal fere a vista 😂😂😂 ni dzivaleli a ni nga swi tivi 🤣,"['afinal', 'fere', 'a', 'vista', '😂😂😂', 'ni', 'dzivaleli', 'a', 'ni', 'nga', 'swi', 'tivi', '🤣']",13
@user Uta kuma timaka hi maka ma brincadeira,negative,Negative,uta kuma timaka hi maka ma brincadeira,"['uta', 'kuma', 'timaka', 'hi', 'maka', 'ma', 'brincadeira']",7
"@user Wena uni ntxumo uxi mahaka ni guele, ingui u bom pra puto puto, mas haaaaa",negative,Negative,wena uni ntxumo uxi mahaka ni guele ingui u bom pra puto puto mas haaaaa,"['wena', 'uni', 'ntxumo', 'uxi', 'mahaka', 'ni', 'guele', 'ingui', 'u', 'bom', 'pra', 'puto', 'puto', 'mas', 'haaaaa']",15
Wenna @user hu ta ni txanissa ih voz man https://t.co/HyFpfT0aJZ,negative,Negative,wenna hu ta ni txanissa ih voz man,"['wenna', 'hu', 'ta', 'ni', 'txanissa', 'ih', 'voz', 'man']",8
@user Va mu tlelile pah 😭😭😭 tlelaaa!!!,negative,Negative,va mu tlelile pah 😭😭😭 tlelaaa,"['va', 'mu', 'tlelile', 'pah', '😭😭😭', 'tlelaaa']",6
Misava yi Bihile ihhhh😤😤❤️❤️🤲🤲🤲🤲 @user,negative,Negative,misava yi bihile ihhhh😤😤❤️❤️🤲🤲🤲🤲,"['misava', 'yi', 'bihile', 'ihhhh😤😤❤️❤️🤲🤲🤲🤲']",4
Tiva Hini hi khu fassa 😡 https://t.co/y62SJaptDz,negative,Negative,tiva hini hi khu fassa 😡,"['tiva', 'hini', 'hi', 'khu', 'fassa', '😡']",6
Hi dlawile 🤣🤣🤣 https://t.co/eDAoFMhw7s,negative,Negative,hi dlawile 🤣🤣🤣,"['hi', 'dlawile', '🤣🤣🤣']",3
“Kasse mamana ya wena ii herioa”😭😭😹,negative,Negative,“kasse mamana ya wena ii herioa”😭😭😹,"['“kasse', 'mamana', 'ya', 'wena', 'ii', 'herioa”😭😭😹']",6
"@user @user @user @user Himakha mune lesho, Em Moz seria """"ku ba mpama mina"""" durante.",negative,Negative,himakha mune lesho em moz seria ku ba mpama mina durante,"['himakha', 'mune', 'lesho', 'em', 'moz', 'seria', 'ku', 'ba', 'mpama', 'mina', 'durante']",11
U La Ku Nitxintxa My Baby! U La Ku Nitxintxa My Baby!,negative,Negative,u la ku nitxintxa my baby u la ku nitxintxa my baby,"['u', 'la', 'ku', 'nitxintxa', 'my', 'baby', 'u', 'la', 'ku', 'nitxintxa', 'my', 'baby']",12
@user @user Nitaku panhula hi xinwui* xa tiro😂😂,negative,Negative,nitaku panhula hi xinwui xa tiro😂😂,"['nitaku', 'panhula', 'hi', 'xinwui', 'xa', 'tiro😂😂']",6
@user Unga ni lheki😡,negative,Negative,unga ni lheki😡,"['unga', 'ni', 'lheki😡']",3
Mina ningue fambi hi lane,negative,Negative,mina ningue fambi hi lane,"['mina', 'ningue', 'fambi', 'hi', 'lane']",5
A xizami ehhh 😭,negative,Negative,a xizami ehhh 😭,"['a', 'xizami', 'ehhh', '😭']",4
Na Unitiva tem Opium🥺 https://t.co/Wqn5g9ZB9M,negative,Negative,na unitiva tem opium🥺,"['na', 'unitiva', 'tem', 'opium🥺']",4
@user Wa nsila lweyii... 😪 Damnnnnnnn,negative,Negative,wa nsila lweyii 😪 damnnnnnnn,"['wa', 'nsila', 'lweyii', '😪', 'damnnnnnnn']",5
@user Senhora atirha hospital privado lani a humaka kona vatwa hiyena vana vayena angava pfumeli vatlanga na vana vanwani @user @user @user,negative,Negative,senhora atirha hospital privado lani a humaka kona vatwa hiyena vana vayena angava pfumeli vatlanga na vana vanwani,"['senhora', 'atirha', 'hospital', 'privado', 'lani', 'a', 'humaka', 'kona', 'vatwa', 'hiyena', 'vana', 'vayena', 'angava', 'pfumeli', 'vatlanga', 'na', 'vana', 'vanwani']",18
U ta swi vona. https://t.co/2UVVwSX9cv,negative,Negative,u ta swi vona,"['u', 'ta', 'swi', 'vona']",4
@user @user Pfutseka! Para ti que ttaste,negative,Negative,pfutseka para ti que ttaste,"['pfutseka', 'para', 'ti', 'que', 'ttaste']",5
@user Heee ... ha ni wa lewso mina 😭😭😭😭,negative,Negative,heee ha ni wa lewso mina 😭😭😭😭,"['heee', 'ha', 'ni', 'wa', 'lewso', 'mina', '😭😭😭😭']",7
“Wa Vizinhouuu Nikonbela Ko Loyiwaaaa” https://t.co/pLSSvDPvKL,negative,Negative,“wa vizinhouuu nikonbela ko loyiwaaaa”,"['“wa', 'vizinhouuu', 'nikonbela', 'ko', 'loyiwaaaa”']",5
Nitaku panhula ih xinwe xa tiro😂 https://t.co/Sx54jesXJW,negative,Negative,nitaku panhula ih xinwe xa tiro😂,"['nitaku', 'panhula', 'ih', 'xinwe', 'xa', 'tiro😂']",6
Nako male ya mu phuntissa https://t.co/BFe0HqToDa,negative,Negative,nako male ya mu phuntissa,"['nako', 'male', 'ya', 'mu', 'phuntissa']",5
@user Depois saem hi matalane Vha buya vhata yih hlupa,negative,Negative,depois saem hi matalane vha buya vhata yih hlupa,"['depois', 'saem', 'hi', 'matalane', 'vha', 'buya', 'vhata', 'yih', 'hlupa']",9
Swi mbeni e má vagwi ya má like,negative,Negative,swi mbeni e má vagwi ya má like,"['swi', 'mbeni', 'e', 'má', 'vagwi', 'ya', 'má', 'like']",8
Vamos demostrar solidariedade masculina! A XI pfutseki https://t.co/qn4RlxH9XZ,negative,Negative,vamos demostrar solidariedade masculina a xi pfutseki,"['vamos', 'demostrar', 'solidariedade', 'masculina', 'a', 'xi', 'pfutseki']",7
Manhokonhoko tsem ... 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ SWA ti mbangue ni ma cigarri leswoooo...😩😩😩... Lol... Just jkn https://t.co/pYQyQ2p0bA,negative,Negative,manhokonhoko tsem 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ swa ti mbangue ni ma cigarri leswoooo😩😩😩 lol just jkn,"['manhokonhoko', 'tsem', '🤦🏽\u200d♂️🤦🏽\u200d♂️🤦🏽\u200d♂️', 'swa', 'ti', 'mbangue', 'ni', 'ma', 'cigarri', 'leswoooo😩😩😩', 'lol', 'just', 'jkn']",13
"Vataku yivissa mova mamanou, owooooooh. Wa tlanga wena. Keep tlanguing, uta dzila. https://t.co/lraQGWA6Gg",negative,Negative,vataku yivissa mova mamanou owooooooh wa tlanga wena keep tlanguing uta dzila,"['vataku', 'yivissa', 'mova', 'mamanou', 'owooooooh', 'wa', 'tlanga', 'wena', 'keep', 'tlanguing', 'uta', 'dzila']",12
"@user Unga lhai, lava vá lhayaka swaku kuni ma gerador nem a vá kutive Albasine cola ka maputsu, ambi bobole loko kungana placa ava ku tive, ja vá tiva ma gerador ya tiko, hewenou, hambe male kona ma gerador a mana gasolina pru falta ya orçamento.",negative,Negative,unga lhai lava vá lhayaka swaku kuni ma gerador nem a vá kutive albasine cola ka maputsu ambi bobole loko kungana placa ava ku tive ja vá tiva ma gerador ya tiko hewenou hambe male kona ma gerador a mana gasolina pru falta ya orçamento,"['unga', 'lhai', 'lava', 'vá', 'lhayaka', 'swaku', 'kuni', 'ma', 'gerador', 'nem', 'a', 'vá', 'kutive', 'albasine', 'cola', 'ka', 'maputsu', 'ambi', 'bobole', 'loko', 'kungana', 'placa', 'ava', 'ku', 'tive', 'ja', 'vá', 'tiva', 'ma', 'gerador', 'ya', 'tiko', 'hewenou', 'hambe', 'male', 'kona', 'ma', 'gerador', 'a', 'mana', 'gasolina', 'pru', 'falta', 'ya', 'orçamento']",45
@user @user A vhula vhula ngopfu problema,negative,Negative,a vhula vhula ngopfu problema,"['a', 'vhula', 'vhula', 'ngopfu', 'problema']",5
A biwile hi xoque Mano Mone txiii https://t.co/PNAkM0lTWT,negative,Negative,a biwile hi xoque mano mone txiii,"['a', 'biwile', 'hi', 'xoque', 'mano', 'mone', 'txiii']",7
nitaku panhula hi xikwe xa tiro lá 😂😂 https://t.co/FiACRWQC5t,negative,Negative,nitaku panhula hi xikwe xa tiro lá 😂😂,"['nitaku', 'panhula', 'hi', 'xikwe', 'xa', 'tiro', 'lá', '😂😂']",8
Hambi honi nhenha kassi wani nhenha wayi uni nhenha 🎶 Mavelevele Hustler 🔥,negative,Negative,hambi honi nhenha kassi wani nhenha wayi uni nhenha 🎶 mavelevele hustler 🔥,"['hambi', 'honi', 'nhenha', 'kassi', 'wani', 'nhenha', 'wayi', 'uni', 'nhenha', '🎶', 'mavelevele', 'hustler', '🔥']",13
Haaaaaaaaaaaa... wa hemba https://t.co/GOXN197h9l,negative,Negative,haaaaaaaaaaaa wa hemba,"['haaaaaaaaaaaa', 'wa', 'hemba']",3
“Xitombo xa zaida”,negative,Negative,“xitombo xa zaida”,"['“xitombo', 'xa', 'zaida”']",3
@user ya pokehh o xpantuu.. #l0lzz,negative,Negative,ya pokehh o xpantuu,"['ya', 'pokehh', 'o', 'xpantuu']",4
Aweh.. A tihlu 😭 https://t.co/mN1n4oBCLW,negative,Negative,aweh a tihlu 😭,"['aweh', 'a', 'tihlu', '😭']",4
Xa gwirha Hiiiii a XI vojani https://t.co/VRm28vvNFV,negative,Negative,xa gwirha hiiiii a xi vojani,"['xa', 'gwirha', 'hiiiii', 'a', 'xi', 'vojani']",6
@user Ahu xitwi xizami papá 😭,negative,Negative,ahu xitwi xizami papá 😭,"['ahu', 'xitwi', 'xizami', 'papá', '😭']",5
Conforme Muswivonaka va timile maguezi... khanimambo EDM,negative,Negative,conforme muswivonaka va timile maguezi khanimambo edm,"['conforme', 'muswivonaka', 'va', 'timile', 'maguezi', 'khanimambo', 'edm']",7
Hi honili ini já? https://t.co/gKpCYwW1W7,negative,Negative,hi honili ini já,"['hi', 'honili', 'ini', 'já']",4
🇧🇷🚶‍♂️💇🚴: Colisença 🇲🇿🚶‍♂️🚴: Awe Xitombo xa mwako uly istrato xanhine wako lexy.😂😂,negative,Negative,🇧🇷🚶‍♂️💇🚴 colisença 🇲🇿🚶‍♂️🚴 awe xitombo xa mwako uly istrato xanhine wako lexy😂😂,"['🇧🇷🚶\u200d♂️💇🚴', 'colisença', '🇲🇿🚶\u200d♂️🚴', 'awe', 'xitombo', 'xa', 'mwako', 'uly', 'istrato', 'xanhine', 'wako', 'lexy😂😂']",12
Cada porcaria... Hosi yanga,negative,Negative,cada porcaria hosi yanga,"['cada', 'porcaria', 'hosi', 'yanga']",4
Edjoo. Fria ta kwapar😑,negative,Negative,edjoo fria ta kwapar😑,"['edjoo', 'fria', 'ta', 'kwapar😑']",4
@user A u tivi ntxumu,negative,Negative,a u tivi ntxumu,"['a', 'u', 'tivi', 'ntxumu']",4
Para depois anga nandzike🗑🙆🏽‍♀️ leswo swa ma foto hum https://t.co/KywAT2Ot1a,negative,Negative,para depois anga nandzike🗑🙆🏽‍♀️ leswo swa ma foto hum,"['para', 'depois', 'anga', 'nandzike🗑🙆🏽\u200d♀️', 'leswo', 'swa', 'ma', 'foto', 'hum']",9
Fui dar uma chance a sushi swani luma ndzene,negative,Negative,fui dar uma chance a sushi swani luma ndzene,"['fui', 'dar', 'uma', 'chance', 'a', 'sushi', 'swani', 'luma', 'ndzene']",9
Himina muyivi WA botija 😂😂😂😂😂 https://t.co/mMuRG79ePa,negative,Negative,himina muyivi wa botija 😂😂😂😂😂,"['himina', 'muyivi', 'wa', 'botija', '😂😂😂😂😂']",5
Manter estrada que estamos a pagar?😂😂 munga hilhupi,negative,Negative,manter estrada que estamos a pagar😂😂 munga hilhupi,"['manter', 'estrada', 'que', 'estamos', 'a', 'pagar😂😂', 'munga', 'hilhupi']",8
Ka hissa lah Kah maputso.,negative,Negative,ka hissa lah kah maputso,"['ka', 'hissa', 'lah', 'kah', 'maputso']",5
"Marido: (após ter pedido chá há uma hora) será que ni ta kweva a chana namutla. Esposa: u ta kweva boy, aliás boss. Marido: hi mani boy? Esposa: ni phazamile, hi wena boss. Assim estamos na esquadra 🤷🏽‍♂️",negative,Negative,marido após ter pedido chá há uma hora será que ni ta kweva a chana namutla esposa u ta kweva boy aliás boss marido hi mani boy esposa ni phazamile hi wena boss assim estamos na esquadra 🤷🏽‍♂️,"['marido', 'após', 'ter', 'pedido', 'chá', 'há', 'uma', 'hora', 'será', 'que', 'ni', 'ta', 'kweva', 'a', 'chana', 'namutla', 'esposa', 'u', 'ta', 'kweva', 'boy', 'aliás', 'boss', 'marido', 'hi', 'mani', 'boy', 'esposa', 'ni', 'phazamile', 'hi', 'wena', 'boss', 'assim', 'estamos', 'na', 'esquadra', '🤷🏽\u200d♂️']",38
Ku gama ku humelela Mabandido 😭 https://t.co/EhALU9zITQ,negative,Negative,ku gama ku humelela mabandido 😭,"['ku', 'gama', 'ku', 'humelela', 'mabandido', '😭']",6
@user Swi tivissi swi biya kkkk,negative,Negative,swi tivissi swi biya kkkk,"['swi', 'tivissi', 'swi', 'biya', 'kkkk']",5
@user WA loya 😂😂😂,negative,Negative,wa loya 😂😂😂,"['wa', 'loya', '😂😂😂']",3
