sentence,Final_Label,predict_name,cleaned_sentence,tokens
@user o buisana le monnasetulo o montshwa wa lekoko la anc mo province ya northwest nono maloyi ka maano a gagwe a go kitlana lekoko le go tokafatsa ditirelo mo northwest nna le seabe ka go letsa le go botsa dipotso ,negative,Setswana,o buisana le monnasetulo o montshwa wa lekoko la anc mo province ya northwest nono maloyi ka maano a gagwe a go kitlana lekoko le go tokafatsa ditirelo mo northwest nna le seabe ka go letsa le go botsa dipotso,"['o', 'buisana', 'le', 'monnasetulo', 'o', 'montshwa', 'wa', 'lekoko', 'la', 'anc', 'mo', 'province', 'ya', 'northwest', 'nono', 'maloyi', 'ka', 'maano', 'a', 'gagwe', 'a', 'go', 'kitlana', 'lekoko', 'le', 'go', 'tokafatsa', 'ditirelo', 'mo', 'northwest', 'nna', 'le', 'seabe', 'ka', 'go', 'letsa', 'le', 'go', 'botsa', 'dipotso']"
@user1 29 -1 40 o tla kgona winkie-winkie eo or everyday o qala story sa hao fatshe o tlo fola neng tshepo right then i picked up her genuine concern for me which made me a little emotional i won t lie,negative,Setswana,o tla kgona winkiewinkie eo or everyday o qala story sa hao fatshe o tlo fola neng tshepo right then i picked up her genuine concern for me which made me a little emotional i won t lie,"['o', 'tla', 'kgona', 'winkiewinkie', 'eo', 'or', 'everyday', 'o', 'qala', 'story', 'sa', 'hao', 'fatshe', 'o', 'tlo', 'fola', 'neng', 'tshepo', 'right', 'then', 'i', 'picked', 'up', 'her', 'genuine', 'concern', 'for', 'me', 'which', 'made', 'me', 'a', 'little', 'emotional', 'i', 'won', 't', 'lie']"
@user @user @user beautiful message and gud call u made when @user was on @user great tribute by pitso to your dad ntate madigage was a great gentleman even from a distance1 could see cap ya kereke forever on him ,positive,Setswana,beautiful message and gud call u made when was on great tribute by pitso to your dad ntate madigage was a great gentleman even from a distance could see cap ya kereke forever on him,"['beautiful', 'message', 'and', 'gud', 'call', 'u', 'made', 'when', 'was', 'on', 'great', 'tribute', 'by', 'pitso', 'to', 'your', 'dad', 'ntate', 'madigage', 'was', 'a', 'great', 'gentleman', 'even', 'from', 'a', 'distance', 'could', 'see', 'cap', 'ya', 'kereke', 'forever', 'on', 'him']"
@user jaanong e lockiwa ka lebogo ,negative,Setswana,jaanong e lockiwa ka lebogo,"['jaanong', 'e', 'lockiwa', 'ka', 'lebogo']"
@user hai these thuma mina people ,neutral,Setswana,hai these thuma mina people,"['hai', 'these', 'thuma', 'mina', 'people']"
@user kgang ya teng le yone o kare dio tsa masalamose hela kore statement sa bone gase tshwaragane ,negative,Setswana,kgang ya teng le yone o kare dio tsa masalamose hela kore statement sa bone gase tshwaragane,"['kgang', 'ya', 'teng', 'le', 'yone', 'o', 'kare', 'dio', 'tsa', 'masalamose', 'hela', 'kore', 'statement', 'sa', 'bone', 'gase', 'tshwaragane']"
@user bese ngiloku ngiya etoilet ,neutral,Setswana,bese ngiloku ngiya etoilet,"['bese', 'ngiloku', 'ngiya', 'etoilet']"
bona o tshela thupa veilllll ,neutral,Setswana,bona o tshela thupa veilllll,"['bona', 'o', 'tshela', 'thupa', 'veilllll']"
@user ha august a ya go hela ta bo di seo phefo e ile ka tsone,negative,Setswana,ha august a ya go hela ta bo di seo phefo e ile ka tsone,"['ha', 'august', 'a', 'ya', 'go', 'hela', 'ta', 'bo', 'di', 'seo', 'phefo', 'e', 'ile', 'ka', 'tsone']"
@user lol why wena o bua dintho tse o sa batle batho ba di nke serious wa bona wa bapala o fihla neng wena ko happiness that s on that video,positive,Setswana,lol why wena o bua dintho tse o sa batle batho ba di nke serious wa bona wa bapala o fihla neng wena ko happiness that s on that video,"['lol', 'why', 'wena', 'o', 'bua', 'dintho', 'tse', 'o', 'sa', 'batle', 'batho', 'ba', 'di', 'nke', 'serious', 'wa', 'bona', 'wa', 'bapala', 'o', 'fihla', 'neng', 'wena', 'ko', 'happiness', 'that', 's', 'on', 'that', 'video']"
@user nnyaa nna ne ke re ka re bogolo atumella ha bridgeway ponto o kgakala thata ,negative,Setswana,nnyaa nna ne ke re ka re bogolo atumella ha bridgeway ponto o kgakala thata,"['nnyaa', 'nna', 'ne', 'ke', 're', 'ka', 're', 'bogolo', 'atumella', 'ha', 'bridgeway', 'ponto', 'o', 'kgakala', 'thata']"
@user ai dio tsa nyena di dintsi banna ei,negative,Setswana,ai dio tsa nyena di dintsi banna ei,"['ai', 'dio', 'tsa', 'nyena', 'di', 'dintsi', 'banna', 'ei']"
lrt kante r300 e kgona go kopanya seshabo fela sese matla jaana nna tse ke le sure e reka savanna fela ,negative,Setswana,lrt kante r e kgona go kopanya seshabo fela sese matla jaana nna tse ke le sure e reka savanna fela,"['lrt', 'kante', 'r', 'e', 'kgona', 'go', 'kopanya', 'seshabo', 'fela', 'sese', 'matla', 'jaana', 'nna', 'tse', 'ke', 'le', 'sure', 'e', 'reka', 'savanna', 'fela']"
@user @user hating ntate wena goa shota ko ntlong ga go na motho o wisang penty ka baka la gago ,negative,Setswana,hating ntate wena goa shota ko ntlong ga go na motho o wisang penty ka baka la gago,"['hating', 'ntate', 'wena', 'goa', 'shota', 'ko', 'ntlong', 'ga', 'go', 'na', 'motho', 'o', 'wisang', 'penty', 'ka', 'baka', 'la', 'gago']"
@user ka ipotsa waitse,neutral,Setswana,ka ipotsa waitse,"['ka', 'ipotsa', 'waitse']"
@user akere we have a twanging kgosi a twanging premier a twanging a twanging minister of dirco a twanging president it s a complete deal sbali we re a hong hong hong state,positive,Setswana,akere we have a twanging kgosi a twanging premier a twanging a twanging minister of dirco a twanging president it s a complete deal sbali we re a hong hong hong state,"['akere', 'we', 'have', 'a', 'twanging', 'kgosi', 'a', 'twanging', 'premier', 'a', 'twanging', 'a', 'twanging', 'minister', 'of', 'dirco', 'a', 'twanging', 'president', 'it', 's', 'a', 'complete', 'deal', 'sbali', 'we', 're', 'a', 'hong', 'hong', 'hong', 'state']"
@user @user mokgaga wena o monna wa mopedi yo a tswang setsong ka nnete pele ge western medication o fihla mo what were our forefathers healing themselves with,negative,Setswana,mokgaga wena o monna wa mopedi yo a tswang setsong ka nnete pele ge western medication o fihla mo what were our forefathers healing themselves with,"['mokgaga', 'wena', 'o', 'monna', 'wa', 'mopedi', 'yo', 'a', 'tswang', 'setsong', 'ka', 'nnete', 'pele', 'ge', 'western', 'medication', 'o', 'fihla', 'mo', 'what', 'were', 'our', 'forefathers', 'healing', 'themselves', 'with']"
kgang yame ke gore atleast yone ya jewa as for me go bata blunt tse lekanang le goal tsa brentford ,positive,Setswana,kgang yame ke gore atleast yone ya jewa as for me go bata blunt tse lekanang le goal tsa brentford,"['kgang', 'yame', 'ke', 'gore', 'atleast', 'yone', 'ya', 'jewa', 'as', 'for', 'me', 'go', 'bata', 'blunt', 'tse', 'lekanang', 'le', 'goal', 'tsa', 'brentford']"
@user @user o kgonne go fitlhela ko teng ,positive,Setswana,o kgonne go fitlhela ko teng,"['o', 'kgonne', 'go', 'fitlhela', 'ko', 'teng']"
@user @user araba potso,neutral,Setswana,araba potso,"['araba', 'potso']"
re jang di game kae ,neutral,Setswana,re jang di game kae,"['re', 'jang', 'di', 'game', 'kae']"
@user so le ruile dinotshe ko geno that s sweet ,positive,Setswana,so le ruile dinotshe ko geno that s sweet,"['so', 'le', 'ruile', 'dinotshe', 'ko', 'geno', 'that', 's', 'sweet']"
@user gape ga go bonolo hle,positive,Setswana,gape ga go bonolo hle,"['gape', 'ga', 'go', 'bonolo', 'hle']"
nako tse dingwe re tsena hela re ta ntshiwa ke mogote ,neutral,Setswana,nako tse dingwe re tsena hela re ta ntshiwa ke mogote,"['nako', 'tse', 'dingwe', 're', 'tsena', 'hela', 're', 'ta', 'ntshiwa', 'ke', 'mogote']"
koore are hot dog yone are ne a re o teng ,negative,Setswana,koore are hot dog yone are ne a re o teng,"['koore', 'are', 'hot', 'dog', 'yone', 'are', 'ne', 'a', 're', 'o', 'teng']"
@user eish yah gotla siama warra ,negative,Setswana,eish yah gotla siama warra,"['eish', 'yah', 'gotla', 'siama', 'warra']"
@user ah akanya thata akere,negative,Setswana,ah akanya thata akere,"['ah', 'akanya', 'thata', 'akere']"
@user a ko tsene mo bateng ka metsi a tsididi o tshele jik go nkge chlorine koore lona le bata go akanyetswa sengwe le sengwe ,positive,Setswana,a ko tsene mo bateng ka metsi a tsididi o tshele jik go nkge chlorine koore lona le bata go akanyetswa sengwe le sengwe,"['a', 'ko', 'tsene', 'mo', 'bateng', 'ka', 'metsi', 'a', 'tsididi', 'o', 'tshele', 'jik', 'go', 'nkge', 'chlorine', 'koore', 'lona', 'le', 'bata', 'go', 'akanyetswa', 'sengwe', 'le', 'sengwe']"
@user ke tlo tshela le malome mo twitter until,neutral,Setswana,ke tlo tshela le malome mo twitter until,"['ke', 'tlo', 'tshela', 'le', 'malome', 'mo', 'twitter', 'until']"
@user wa kula ntate oh ,negative,Setswana,wa kula ntate oh,"['wa', 'kula', 'ntate', 'oh']"
nna ke itse boroko ele jwa phakela le motshegare ke robala hela ka ga kena choice but hela hela nka se robale bosigo ,positive,Setswana,nna ke itse boroko ele jwa phakela le motshegare ke robala hela ka ga kena choice but hela hela nka se robale bosigo,"['nna', 'ke', 'itse', 'boroko', 'ele', 'jwa', 'phakela', 'le', 'motshegare', 'ke', 'robala', 'hela', 'ka', 'ga', 'kena', 'choice', 'but', 'hela', 'hela', 'nka', 'se', 'robale', 'bosigo']"
@user madume ntate waka re mmogo le bosigong jono ka loleme la marena it s going to be a shuprapapaa ,neutral,Setswana,madume ntate waka re mmogo le bosigong jono ka loleme la marena it s going to be a shuprapapaa,"['madume', 'ntate', 'waka', 're', 'mmogo', 'le', 'bosigong', 'jono', 'ka', 'loleme', 'la', 'marena', 'it', 's', 'going', 'to', 'be', 'a', 'shuprapapaa']"
re ta go bona jang o bo nwela mo ntlong ,negative,Setswana,re ta go bona jang o bo nwela mo ntlong,"['re', 'ta', 'go', 'bona', 'jang', 'o', 'bo', 'nwela', 'mo', 'ntlong']"
ae wena o e baya jang jaanong ,negative,Setswana,ae wena o e baya jang jaanong,"['ae', 'wena', 'o', 'e', 'baya', 'jang', 'jaanong']"
ke size ya go ja nap hela when i get home ke thubilwe gore,neutral,Setswana,ke size ya go ja nap hela when i get home ke thubilwe gore,"['ke', 'size', 'ya', 'go', 'ja', 'nap', 'hela', 'when', 'i', 'get', 'home', 'ke', 'thubilwe', 'gore']"
ntate ona kare otlo ntena jwale,neutral,Setswana,ntate ona kare otlo ntena jwale,"['ntate', 'ona', 'kare', 'otlo', 'ntena', 'jwale']"
@user @user or oros o no tshela metsi ,negative,Setswana,or oros o no tshela metsi,"['or', 'oros', 'o', 'no', 'tshela', 'metsi']"
@user ee thata,negative,Setswana,ee thata,"['ee', 'thata']"
good morning fighter under the banner of @user the unity and love of@effsouthafrica is killing house negros softly thy wake up every day thinking about @user and our leadership because their leaders dnt have nothing to offer bopha fighter bopha ,positive,Setswana,good morning fighter under the banner of the unity and love of is killing house negros softly thy wake up every day thinking about and our leadership because their leaders dnt have nothing to offer bopha fighter bopha,"['good', 'morning', 'fighter', 'under', 'the', 'banner', 'of', 'the', 'unity', 'and', 'love', 'of', 'is', 'killing', 'house', 'negros', 'softly', 'thy', 'wake', 'up', 'every', 'day', 'thinking', 'about', 'and', 'our', 'leadership', 'because', 'their', 'leaders', 'dnt', 'have', 'nothing', 'to', 'offer', 'bopha', 'fighter', 'bopha']"
ka le lengwe la mat at i le nna t aka ditlo popa ka reka yaka voucher akere lena le fana ledi chomi t a lena kadi corneng but is fine modimo keyo mogolo maybe one of my followers will bless me with a voucher who knows ,negative,Setswana,ka le lengwe la mat at i le nna t aka ditlo popa ka reka yaka voucher akere lena le fana ledi chomi t a lena kadi corneng but is fine modimo keyo mogolo maybe one of my followers will bless me with a voucher who knows,"['ka', 'le', 'lengwe', 'la', 'mat', 'at', 'i', 'le', 'nna', 't', 'aka', 'ditlo', 'popa', 'ka', 'reka', 'yaka', 'voucher', 'akere', 'lena', 'le', 'fana', 'ledi', 'chomi', 't', 'a', 'lena', 'kadi', 'corneng', 'but', 'is', 'fine', 'modimo', 'keyo', 'mogolo', 'maybe', 'one', 'of', 'my', 'followers', 'will', 'bless', 'me', 'with', 'a', 'voucher', 'who', 'knows']"
@user how the hell do u stay in shape mankana batho ha nka ba bolelela dingwaga tsa gago ba kase dumele,negative,Setswana,how the hell do u stay in shape mankana batho ha nka ba bolelela dingwaga tsa gago ba kase dumele,"['how', 'the', 'hell', 'do', 'u', 'stay', 'in', 'shape', 'mankana', 'batho', 'ha', 'nka', 'ba', 'bolelela', 'dingwaga', 'tsa', 'gago', 'ba', 'kase', 'dumele']"
@user @user @user nna ntate o omborile worse ,negative,Setswana,nna ntate o omborile worse,"['nna', 'ntate', 'o', 'omborile', 'worse']"
@user but this meal is nice bonolo,positive,Setswana,but this meal is nice bonolo,"['but', 'this', 'meal', 'is', 'nice', 'bonolo']"
 ngena ae lumi o bolaile batho ba bant hi ,positive,Setswana,ngena ae lumi o bolaile batho ba bant hi,"['ngena', 'ae', 'lumi', 'o', 'bolaile', 'batho', 'ba', 'bant', 'hi']"
@user @user ke di utlwile ditaba tsa call ,negative,Setswana,ke di utlwile ditaba tsa call,"['ke', 'di', 'utlwile', 'ditaba', 'tsa', 'call']"
@user yes vrug jaana ,neutral,Setswana,yes vrug jaana,"['yes', 'vrug', 'jaana']"
@user lol dumela akere mara wa bona hake e tsebe puo ena kea eleka thank you seke ithutile something today ,positive,Setswana,lol dumela akere mara wa bona hake e tsebe puo ena kea eleka thank you seke ithutile something today,"['lol', 'dumela', 'akere', 'mara', 'wa', 'bona', 'hake', 'e', 'tsebe', 'puo', 'ena', 'kea', 'eleka', 'thank', 'you', 'seke', 'ithutile', 'something', 'today']"
@user madume kgaitsedia motho ke bona orlando pirates e fenya gompieno ka dino di le pedi go e le nngwe ya chippa united lenaane la bona ke le le itumedisang pule hotto monare le lorch ba simolola le motshameko @montsana,negative,Setswana,madume kgaitsedia motho ke bona orlando pirates e fenya gompieno ka dino di le pedi go e le nngwe ya chippa united lenaane la bona ke le le itumedisang pule hotto monare le lorch ba simolola le motshameko,"['madume', 'kgaitsedia', 'motho', 'ke', 'bona', 'orlando', 'pirates', 'e', 'fenya', 'gompieno', 'ka', 'dino', 'di', 'le', 'pedi', 'go', 'e', 'le', 'nngwe', 'ya', 'chippa', 'united', 'lenaane', 'la', 'bona', 'ke', 'le', 'le', 'itumedisang', 'pule', 'hotto', 'monare', 'le', 'lorch', 'ba', 'simolola', 'le', 'motshameko']"
@user monna batho ba ba siame,positive,Setswana,monna batho ba ba siame,"['monna', 'batho', 'ba', 'ba', 'siame']"
ke gopotse motse mogolo sione ga mmamabolo ,positive,Setswana,ke gopotse motse mogolo sione ga mmamabolo,"['ke', 'gopotse', 'motse', 'mogolo', 'sione', 'ga', 'mmamabolo']"
teng today ,neutral,Setswana,teng today,"['teng', 'today']"
@user legolegwa le bolaile prison officer,negative,Setswana,legolegwa le bolaile prison officer,"['legolegwa', 'le', 'bolaile', 'prison', 'officer']"
kopana le moifo wa hao wa ditaba ho mantsopa fm re o tlisetsa ditaba ka kotloloho di tjhesa di le jwalo 18 00 to19 00mamela mona o natefelwe ,negative,Setswana,kopana le moifo wa hao wa ditaba ho mantsopa fm re o tlisetsa ditaba ka kotloloho di tjhesa di le jwalo to mamela mona o natefelwe,"['kopana', 'le', 'moifo', 'wa', 'hao', 'wa', 'ditaba', 'ho', 'mantsopa', 'fm', 're', 'o', 'tlisetsa', 'ditaba', 'ka', 'kotloloho', 'di', 'tjhesa', 'di', 'le', 'jwalo', 'to', 'mamela', 'mona', 'o', 'natefelwe']"
@user mfana o jele phoso mara number ya teng ya itse e batla e betsa ke iketlile mo koloing,negative,Setswana,mfana o jele phoso mara number ya teng ya itse e batla e betsa ke iketlile mo koloing,"['mfana', 'o', 'jele', 'phoso', 'mara', 'number', 'ya', 'teng', 'ya', 'itse', 'e', 'batla', 'e', 'betsa', 'ke', 'iketlile', 'mo', 'koloing']"
ha tsena kamoso ke text a crush,negative,Setswana,ha tsena kamoso ke text a crush,"['ha', 'tsena', 'kamoso', 'ke', 'text', 'a', 'crush']"
@user @user ojiwa thata,negative,Setswana,ojiwa thata,"['ojiwa', 'thata']"
@user re ntse re bua ka tsone dio tse gompieno ,neutral,Setswana,re ntse re bua ka tsone dio tse gompieno,"['re', 'ntse', 're', 'bua', 'ka', 'tsone', 'dio', 'tse', 'gompieno']"
